"covidence_id","source","paper_title","short_cite","citation","link","spec_site","site","WDPA.ID","plot_size_ha","lat","long","area","paper_month_start","paper_year_start","paper_month_end","paper_year_end","method","fruit_flower","onset","end","percent_species","percent_indiv","reproduction % basal area","other_descript","onset_date","end_date","paper_start_month","paper_end_month","paper_start_date","paper_end_date"
"28","lit review","The influence of logging on vertebrate responses to mast fruiting","Granados, Bernard & Brodie, 2019","Granados A, Bernard H, Brodie JF. The influence of logging on vertebrate responses to mast fruiting. J Anim Ecol. 2019; 88: 892–902. https://doi.org/10.1111/1365-2656.12983","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12983","Danum Valley Conservation Area","Danum Valley","10279","43800","5.102","117.688","Sabah","May",2013,"September",2015,"fruit traps, ground collection","fruit","May 2015","September 2015",NA,NA,NA,"minor mast year",2015-05-01,2015-09-01,"May","September",2013-05-01,2015-09-01
"85","lit review","Dipterocarp seedling population dynamics in Bornean primary lowland forest during the 1997-8 El Nino-Southern Oscillation","Bebber et al. 2004","Dipterocarp seedling population dynamics in Bornean primary lowland forest during the 1997-8 El Nino-Southern Oscillation

D. P. Bebber, N. D. Brown and M. R. Speight

Journal of Tropical Ecology 2004 Vol. 20 Pages 11-19

Accession Number: WOS:000188953600002 DOI: 10.1017/S0266467404006133","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/00F1D3A29775EDDFBB43C58CB72406CF/S0266467404006133a.pdf/dipterocarp-seedling-population-dynamics-in-bornean-primary-lowland-forest-during-the-1997-8-el-nino-southern-oscillation.pdf",NA,"Danum Valley","10279","43800","4.964768","117.805078","Sabah","September",1997,"March",1999,"hemispherical canopy photographs","fruit","July 1996","September 1996","""A mast fruiting of dipterocarps had occurred in the third quarter of 1996 in the Danum Valley Conservation Area""",NA,NA,NA,1996-07-01,1996-09-01,"September","March",1997-09-01,1999-03-01
"28","lit review","The influence of logging on vertebrate responses to mast fruiting","Granados, Bernard & Brodie, 2019","Granados A, Bernard H, Brodie JF. The influence of logging on vertebrate responses to mast fruiting. J Anim Ecol. 2019; 88: 892–902. https://doi.org/10.1111/1365-2656.12983","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12983","Sabah Biodiversity Experiment","Malua Forest Reserve","555705627","33500","5.167","117.564","Sabah","May",2013,"September",2015,"fruit traps, ground collection","fruit","May 2014","September 2014",NA,NA,NA,NA,2014-05-01,2014-09-01,"May","September",2013-05-01,2015-09-01
"28","lit review","The influence of logging on vertebrate responses to mast fruiting","Granados, Bernard & Brodie, 2019","Granados A, Bernard H, Brodie JF. The influence of logging on vertebrate responses to mast fruiting. J Anim Ecol. 2019; 88: 892–902. https://doi.org/10.1111/1365-2656.12983","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12983","Sabah Biodiversity Experiment","Malua Forest Reserve","555705627","33500","5.167","117.564","Sabah","May",2013,"September",2015,"fruit traps, ground collection","fruit","May 2015","September 2015",NA,NA,NA,"minor mast year",2015-05-01,2015-09-01,"May","September",2013-05-01,2015-09-01
"35","lit review","Seedling Recruitment Failure following Dipterocarp Mast Fruiting","Blundell & Peart 2004","Blundell, A. G., & Peart, D. R. (2004). Seedling Recruitment Failure following Dipterocarp Mast Fruiting. Journal of Tropical Ecology, 20(2), 229–231. http://www.jstor.org/stable/4091953","https://www.jstor.org/stable/4091953?seq=1","Cabang Panti","Gunung Palung National Park","20378","90000","-1.2166667","110.1166667","West Kalimantan","January",1995,"January",1996,"recruitment observation","flower","October 1994","December 1994",NA,NA,NA,NA,1994-10-01,1994-12-01,"January","January",1995-01-01,1996-01-01
"35","lit review","Seedling Recruitment Failure following Dipterocarp Mast Fruiting","Blundell & Peart 2004","Blundell, A. G., & Peart, D. R. (2004). Seedling Recruitment Failure following Dipterocarp Mast Fruiting. Journal of Tropical Ecology, 20(2), 229–231. http://www.jstor.org/stable/4091953","https://www.jstor.org/stable/4091953?seq=1","Cabang Panti","Gunung Palung National Park","20378","90000","-1.2166667","110.1166667","West Kalimantan","January",1995,"January",1996,"recruitment observation","fruit","January 1995","March 1995",NA,NA,NA,NA,1995-01-01,1995-03-01,"January","January",1995-01-01,1996-01-01
"40","lit review","Changes in Orangutan Caloric Intake, Energy Balance, and Ketones in Response to Fluctuating Fruit Availability","Knott 1998","Knott, C.D. Changes in Orangutan Caloric Intake, Energy Balance, and Ketones in Response to Fluctuating Fruit Availability. International Journal of Primatology 19, 1061–1079 (1998). https://doi.org/10.1023/A:1020330404983","https://link.springer.com/article/10.1023/A:1020330404983",NA,"Gunung Palung National Park","20378","2100","-1.2166667","110.1166667","West Kalimantan","September",1994,"September",1995,"visual observation of trees","fruit","September 1994","February 1995",NA,NA,NA,NA,1994-09-01,1995-02-01,"September","September",1994-09-01,1995-09-01
"74","lit review","Plant reproductive phenology over four years including an episode of general flowering in a lowland dipterocarp forest, Sarawak, Malaysia","Sakai et al. 2019","Sakai S, Momose K, Yumoto T, Nagamitsu T, Nagamasu H, Hamid AA, Nakashizuka T. Plant reproductive phenology over four years including an episode of general flowering in a lowland dipterocarp forest,Sarawak, Malaysia. Am J Bot. 1999 Oct;86(10):1414-36. PMID: 10523283.","https://pubmed.ncbi.nlm.nih.gov/10523283/","Canopy Biology Plot, waterfall trail","Lambir Hills","4056","13","4.1865","114.017","Sarawak","August",1992,"December",1996,"canopy observation system","fruit","August 1992","August 1992",NA,NA,NA,NA,1992-08-01,1992-08-01,"August","December",1992-08-01,1996-12-01
"74","lit review","Plant reproductive phenology over four years including an episode of general flowering in a lowland dipterocarp forest, Sarawak, Malaysia","Sakai et al. 2019","Sakai S, Momose K, Yumoto T, Nagamitsu T, Nagamasu H, Hamid AA, Nakashizuka T. Plant reproductive phenology over four years including an episode of general flowering in a lowland dipterocarp forest,Sarawak, Malaysia. Am J Bot. 1999 Oct;86(10):1414-36. PMID: 10523283.","https://pubmed.ncbi.nlm.nih.gov/10523283/","Canopy Biology Plot, waterfall trail","Lambir Hills","4056","13","4.1865","114.017","Sarawak","August",1992,"December",1996,"canopy observation system","flower","March 1996","July 1996","21.1","16.9",NA,NA,1996-03-01,1996-07-01,"August","December",1992-08-01,1996-12-01
"74","lit review","Plant reproductive phenology over four years including an episode of general flowering in a lowland dipterocarp forest, Sarawak, Malaysia","Sakai et al. 2019","Sakai S, Momose K, Yumoto T, Nagamitsu T, Nagamasu H, Hamid AA, Nakashizuka T. Plant reproductive phenology over four years including an episode of general flowering in a lowland dipterocarp forest,Sarawak, Malaysia. Am J Bot. 1999 Oct;86(10):1414-36. PMID: 10523283.","https://pubmed.ncbi.nlm.nih.gov/10523283/","Canopy Biology Plot, waterfall trail","Lambir Hills","4056","13","4.1865","114.017","Sarawak","August",1992,"December",1996,"canopy observation system","flower","July 1996","December 1996",NA,NA,NA,NA,1996-07-01,1996-12-01,"August","December",1992-08-01,1996-12-01
